"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"85",183,52,"Tree Cover = 83%",17,87,10,0.066667,0.341176,0.039216,12,0.1
"86",184,23,"Tree Cover = 84%",17,84,9,0.066667,0.329412,0.035294,5,0
"87",185,66,"Tree Cover = 85%",14,82,8,0.054902,0.321569,0.031373,15,0.1
"88",186,5,"Tree Cover = 86%",13,79,7,0.05098,0.309804,0.027451,1,0
"89",187,8,"Tree Cover = 87%",13,77,7,0.05098,0.301961,0.027451,2,0
"90",188,1,"Tree Cover = 88%",10,74,6,0.039216,0.290196,0.023529,0,0
"91",214,9,"Shrub Cover = 14%",209,170,119,0.819608,0.666667,0.466667,2,0
"92",215,135,"Shrub Cover = 15%",209,168,117,0.819608,0.658824,0.458824,30,0.1
"93",216,5,"Shrub Cover = 16%",209,166,117,0.819608,0.65098,0.458824,1,0
"94",217,3,"Shrub Cover = 17%",209,165,115,0.819608,0.647059,0.45098,1,0
"95",218,3,"Shrub Cover = 18%",209,164,115,0.819608,0.643137,0.45098,1,0
"96",224,2,"Shrub Cover = 24%",207,152,107,0.811765,0.596078,0.419608,0,0
"97",225,70,"Shrub Cover = 25%",207,151,105,0.811765,0.592157,0.411765,16,0.1
"98",226,12,"Shrub Cover = 26%",204,147,104,0.8,0.576471,0.407843,3,0
"99",227,6,"Shrub Cover = 27%",204,146,102,0.8,0.572549,0.4,1,0
"100",228,15,"Shrub Cover = 28%",204,145,102,0.8,0.568627,0.4,3,0
"101",229,2,"Shrub Cover = 29%",204,142,100,0.8,0.556863,0.392157,0,0
"102",230,1,"Shrub Cover = 30%",204,142,100,0.8,0.556863,0.392157,0,0
"103",231,2,"Shrub Cover = 31%",201,137,97,0.788235,0.537255,0.380392,0,0
"104",232,4,"Shrub Cover = 32%",201,137,97,0.788235,0.537255,0.380392,1,0
"105",233,11,"Shrub Cover = 33%",201,134,95,0.788235,0.52549,0.372549,2,0
